"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C9orf78",0,0.64182539401075,0.502,0.393,0,"0","C9orf78"
"EIF3K",0,0.703542551230942,0.822,0.713,0,"0","EIF3K"
"ALDOA",0,0.259363767986542,0.565,0.456,0,"0","ALDOA"
"NAP1L1",0,0.412182492510209,0.68,0.572,0,"0","NAP1L1"
"CUTA",0,0.671265474221865,0.609,0.501,0,"0","CUTA"
"NDUFB9",0,0.696043050551914,0.567,0.459,0,"0","NDUFB9"
"HLA-F",0,0.329379964790155,0.68,0.574,0,"0","HLA-F"
"PIK3R1",0,0.418826363903104,0.56,0.454,0,"0","PIK3R1"
"TOMM20",0,0.590826088385924,0.645,0.539,0,"0","TOMM20"
"SEPTIN9",0,0.617656410369315,0.523,0.418,0,"0","SEPTIN9"
"PRMT2",0,0.61536948982918,0.517,0.412,0,"0","PRMT2"
"NPM1",0,0.849663087219629,0.911,0.807,0,"0","NPM1"
"PPP2R5C",0,0.431731269530491,0.572,0.468,0,"0","PPP2R5C"
"TXNIP",0,0.870509611712768,0.912,0.809,0,"0","TXNIP"
"DDX24",0,0.445114468319314,0.736,0.633,0,"0","DDX24"
"SOD1",0,0.365924260026275,0.716,0.613,0,"0","SOD1"
"ATP6V1G1",0,0.488601912494219,0.722,0.62,0,"0","ATP6V1G1"
"CNBP",0,0.562852642905065,0.78,0.679,0,"0","CNBP"
"SRSF5",0,0.611582714047976,0.757,0.657,0,"0","SRSF5"
"EIF3M",0,0.697119125700754,0.528,0.429,0,"0","EIF3M"
"PNRC1",0,0.504738976097114,0.895,0.796,0,"0","PNRC1"
"UQCRB",0,0.62750181025956,0.866,0.767,0,"0","UQCRB"
"ATP5PO",0,0.702644621702896,0.596,0.497,0,"0","ATP5PO"
"ZFP36L2",0,0.524967284520015,0.933,0.835,0,"0","ZFP36L2"
"EMP3",0,0.260363939244482,0.675,0.577,0,"0","EMP3"
"BTG1",0,0.518258624136637,0.976,0.878,0,"0","BTG1"
"GTF3A",0,0.601713475983569,0.531,0.434,0,"0","GTF3A"
"GCC2",0,0.565399634554109,0.54,0.444,0,"0","GCC2"
"LINC01578",0,0.54562315738795,0.528,0.432,0,"0","LINC01578"
"EIF3G",0,0.556567377895842,0.695,0.599,0,"0","EIF3G"
"CCNI",0,0.556523580291883,0.833,0.738,0,"0","CCNI"
"CIRBP",0,0.509475134472864,0.814,0.719,0,"0","CIRBP"
"EPC1",0,0.497426931206277,0.561,0.467,0,"0","EPC1"
"HIGD2A",0,0.570153176044199,0.634,0.54,0,"0","HIGD2A"
"ZFAS1",0,0.36485085290985,0.756,0.662,0,"0","ZFAS1"
"SERP1",0,0.498253340139796,0.737,0.644,0,"0","SERP1"
"TSC22D3",0,0.380809935600832,0.877,0.784,0,"0","TSC22D3"
"RAN",0,0.466411503763438,0.693,0.601,0,"0","RAN"
"COX7C",0,0.690882059919886,0.916,0.825,0,"0","COX7C"
"PABPC1",0,0.924786261562365,0.939,0.849,0,"0","PABPC1"
"ISCU",0,0.532090196617284,0.537,0.448,0,"0","ISCU"
"TMA7",0,0.486698104315333,0.901,0.812,0,"0","TMA7"
"ANAPC16",0,0.516348863729902,0.651,0.562,0,"0","ANAPC16"
"ATP5MG",0,0.565832253845912,0.871,0.782,0,"0","ATP5MG"
"HNRNPA1",0,0.689819112481588,0.9,0.811,0,"0","HNRNPA1"
"YPEL3",0,0.386918710123493,0.573,0.484,0,"0","YPEL3"
"PPDPF",0,0.267351112760642,0.82,0.731,0,"0","PPDPF"
"SLC25A6",0,0.544840198965262,0.825,0.737,0,"0","SLC25A6"
"EML4",0,0.483879432750722,0.517,0.43,0,"0","EML4"
"UBE2D2",0,0.489888434551668,0.634,0.547,0,"0","UBE2D2"
"EIF3D",0,0.63169586770718,0.523,0.437,0,"0","EIF3D"
"EEF1B2",0,1.17640070796494,0.947,0.861,0,"0","EEF1B2"
"UBXN1",0,0.543669598499789,0.63,0.544,0,"0","UBXN1"
"MBNL1",0,0.468342631251766,0.725,0.64,0,"0","MBNL1"
"PNISR",0,0.445651169086998,0.634,0.549,0,"0","PNISR"
"COX6C",0,0.387875022839639,0.762,0.677,0,"0","COX6C"
"MYL12A",0,0.412932913405128,0.88,0.795,0,"0","MYL12A"
"CHURC1",0,0.57821981122527,0.511,0.427,0,"0","CHURC1"
"RSL24D1",0,0.576591763319522,0.521,0.437,0,"0","RSL24D1"
"HNRNPA0",0,0.469941002697927,0.615,0.531,0,"0","HNRNPA0"
"FKBP5",0,0.406410913415731,0.54,0.459,0,"0","FKBP5"
"BTF3",0,0.764275031148502,0.919,0.84,0,"0","BTF3"
"HLA-E",0,0.26881364826173,0.95,0.872,0,"0","HLA-E"
"C19orf53",0,0.531839289914679,0.591,0.513,0,"0","C19orf53"
"ARL6IP5",0,0.412129820349046,0.692,0.615,0,"0","ARL6IP5"
"ATP5MC2",0,0.518435974949527,0.862,0.785,0,"0","ATP5MC2"
"ST13",0,0.556695011753395,0.571,0.495,0,"0","ST13"
"NDUFS5",0,0.345962807375548,0.651,0.576,0,"0","NDUFS5"
"EEF1D",0,0.851676713063462,0.949,0.875,0,"0","EEF1D"
"HNRNPDL",0,0.413075477489635,0.778,0.705,0,"0","HNRNPDL"
"DAZAP2",0,0.349405969711946,0.709,0.636,0,"0","DAZAP2"
"COX4I1",0,0.699841623563464,0.912,0.84,0,"0","COX4I1"
"JAK1",0,0.297369241503158,0.708,0.637,0,"0","JAK1"
"RBMX",0,0.478080702705835,0.529,0.46,0,"0","RBMX"
"CSDE1",0,0.427780586931852,0.612,0.544,0,"0","CSDE1"
"PFDN5",0,0.717380705007992,0.94,0.872,0,"0","PFDN5"
"ARL6IP4",0,0.455117325363952,0.633,0.566,0,"0","ARL6IP4"
"EEF1G",0,1.02997071760149,0.759,0.693,0,"0","EEF1G"
"OST4",0,0.267634514425404,0.811,0.746,0,"0","OST4"
"DDX6",0,0.418160476652889,0.504,0.439,0,"0","DDX6"
"RBM3",0,0.352657669838557,0.691,0.626,0,"0","RBM3"
"SKP1",0,0.284132813862433,0.767,0.703,0,"0","SKP1"
"PSME1",0,0.269425061960034,0.761,0.697,0,"0","PSME1"
"ATP5F1A",0,0.502930446609771,0.506,0.445,0,"0","ATP5F1A"
"MPHOSPH8",0,0.44283989345412,0.505,0.445,0,"0","MPHOSPH8"
"EEF2",0,0.887731053018689,0.898,0.839,0,"0","EEF2"
"PCBP2",0,0.336140418859236,0.559,0.507,0,"0","PCBP2"
"N4BP2L2",0,0.326910741821048,0.588,0.536,0,"0","N4BP2L2"
"ATP5F1D",0,0.338778618671544,0.633,0.582,0,"0","ATP5F1D"
"NDUFB11",0,0.415127369365873,0.595,0.545,0,"0","NDUFB11"
"NACA",0,0.91479031206074,0.966,0.917,0,"0","NACA"
"TRIR",0,0.326888927935089,0.708,0.659,0,"0","TRIR"
"UBA52",0,0.736485928668781,0.974,0.926,0,"0","UBA52"
"RACK1",0,0.861489119527732,0.959,0.913,0,"0","RACK1"
"SPCS1",0,0.30910485314317,0.593,0.548,0,"0","SPCS1"
"FAU",0,0.754072969291973,0.984,0.951,0,"0","FAU"
"TMSB10",0,0.358671662857604,0.984,0.958,0,"0","TMSB10"
"EEF1A1",0,1.11621154052584,0.996,0.98,0,"0","EEF1A1"
"TPT1",0,0.938708522595654,0.994,0.983,0,"0","TPT1"
"B2M",0,0.311745190716562,0.999,0.99,0,"0","B2M"
"ELF1",2.77811046345249e-311,0.264629896286232,0.608,0.559,9.09858957885323e-307,"0","ELF1"
"KRT10",2.23532590615425e-285,0.319647295064079,0.5,0.453,7.3209158752458e-281,"0","KRT10"
